x,y,T
0.448980,0.265306,0.582386
0.469388,0.265306,0.549640
0.489796,0.265306,0.516581
0.510204,0.265306,0.483419
0.530612,0.265306,0.450360
0.551020,0.265306,0.417614
0.571429,0.265306,0.385384
0.591837,0.265306,0.353862
0.612245,0.265306,0.323232
0.632653,0.265306,0.293661
0.653061,0.265306,0.265301
0.673469,0.265306,0.238280
0.693878,0.265306,0.212709
0.714286,0.265306,0.188672
0.734694,0.265306,0.166228
0.755102,0.265306,0.145411
0.775510,0.265306,0.126228
0.795918,0.265306,0.108658
0.816327,0.265306,0.092655
0.836735,0.265306,0.078146
0.857143,0.265306,0.065035
0.877551,0.265306,0.053202
0.897959,0.265306,0.042506
0.918367,0.265306,0.032788
0.938776,0.265306,0.023871
0.959184,0.265306,0.015568
0.979592,0.265306,0.007680
1.000000,0.265306,0.000000
0.000000,0.285714,1.000000
0.020408,0.285714,0.992059
0.040816,0.285714,0.983913
0.061224,0.285714,0.975361
0.081633,0.285714,0.966209
0.102041,0.285714,0.956271
0.122449,0.285714,0.945375
0.142857,0.285714,0.933366
0.163265,0.285714,0.920105
0.183673,0.285714,0.905475
0.204082,0.285714,0.889382
0.224490,0.285714,0.871753
0.244898,0.285714,0.852545
0.265306,0.285714,0.831736
0.285714,0.285714,0.809334
0.306122,0.285714,0.785371
0.326531,0.285714,0.759906
0.346939,0.285714,0.733022
0.367347,0.285714,0.704825
0.387755,0.285714,0.675442
0.408163,0.285714,0.645022
0.428571,0.285714,0.613729
0.448980,0.285714,0.581741
0.469388,0.285714,0.549249
0.489796,0.285714,0.516450
0.510204,0.285714,0.483550
0.530612,0.285714,0.450751
0.551020,0.285714,0.418259
0.571429,0.285714,0.386271
0.591837,0.285714,0.354978
0.612245,0.285714,0.324558
0.632653,0.285714,0.295175
0.653061,0.285714,0.266978
0.673469,0.285714,0.240094
0.693878,0.285714,0.214629
0.714286,0.285714,0.190666
0.734694,0.285714,0.168264
0.755102,0.285714,0.147455
0.775510,0.285714,0.128247
0.795918,0.285714,0.110618
0.816327,0.285714,0.094525
0.836735,0.285714,0.079895
0.857143,0.285714,0.066634
