x,time,dudx
0.510204,0.472000,-1.000212
0.530612,0.472000,-1.000154
0.551020,0.472000,-1.000098
0.571429,0.472000,-1.000044
0.591837,0.472000,-0.999993
0.612245,0.472000,-0.999945
0.632653,0.472000,-0.999899
0.653061,0.472000,-0.999855
0.673469,0.472000,-0.999814
0.693878,0.472000,-0.999776
0.714286,0.472000,-0.999740
0.734694,0.472000,-0.999706
0.755102,0.472000,-0.999675
0.775510,0.472000,-0.999647
0.795918,0.472000,-0.999621
0.816327,0.472000,-0.999597
0.836735,0.472000,-0.999576
0.857143,0.472000,-0.999558
0.877551,0.472000,-0.999541
0.897959,0.472000,-0.999528
0.918367,0.472000,-0.999517
0.938776,0.472000,-0.999508
0.959184,0.472000,-0.999502
0.979592,0.472000,-0.999498
0.020408,0.473000,-0.999995
0.040816,0.473000,-1.000140
0.061224,0.473000,-0.999960
0.081633,0.473000,-0.999953
0.102041,0.473000,-0.999942
0.122449,0.473000,-0.999961
0.142857,0.473000,-1.000199
0.163265,0.473000,-1.000096
0.183673,0.473000,-0.999827
0.204082,0.473000,-0.999729
0.224490,0.473000,-0.999875
0.244898,0.473000,-1.000148
0.265306,0.473000,-1.000417
0.285714,0.473000,-1.000610
0.306122,0.473000,-1.000712
0.326531,0.473000,-1.000740
0.346939,0.473000,-1.000720
0.367347,0.473000,-1.000671
0.387755,0.473000,-1.000609
0.408163,0.473000,-1.000541
0.428571,0.473000,-1.000472
0.448980,0.473000,-1.000403
0.469388,0.473000,-1.000337
0.489796,0.473000,-1.000274
0.510204,0.473000,-1.000212
0.530612,0.473000,-1.000154
0.551020,0.473000,-1.000098
0.571429,0.473000,-1.000044
0.591837,0.473000,-0.999993
0.612245,0.473000,-0.999945
0.632653,0.473000,-0.999899
0.653061,0.473000,-0.999855
0.673469,0.473000,-0.999814
0.693878,0.473000,-0.999776
0.714286,0.473000,-0.999740
0.734694,0.473000,-0.999706
0.755102,0.473000,-0.999675
0.775510,0.473000,-0.999647
0.795918,0.473000,-0.999621
0.816327,0.473000,-0.999597
0.836735,0.473000,-0.999576
0.857143,0.473000,-0.999558
0.877551,0.473000,-0.999541
0.897959,0.473000,-0.999528
0.918367,0.473000,-0.999517
0.938776,0.473000,-0.999508
0.959184,0.473000,-0.999502
0.979592,0.473000,-0.999498
0.020408,0.474000,-0.999995
0.040816,0.474000,-1.000140
0.061224,0.474000,-0.999960
0.081633,0.474000,-0.999953
0.102041,0.474000,-0.999942
0.122449,0.474000,-0.999961
0.142857,0.474000,-1.000199
0.163265,0.474000,-1.000096
0.183673,0.474000,-0.999827
0.204082,0.474000,-0.999729
0.224490,0.474000,-0.999875
0.244898,0.474000,-1.000148
0.265306,0.474000,-1.000417
0.285714,0.474000,-1.000610
0.306122,0.474000,-1.000712
0.326531,0.474000,-1.000740
0.346939,0.474000,-1.000720
0.367347,0.474000,-1.000671
0.387755,0.474000,-1.000609
0.408163,0.474000,-1.000541
0.428571,0.474000,-1.000472
0.448980,0.474000,-1.000403
0.469388,0.474000,-1.000337
0.489796,0.474000,-1.000274
0.510204,0.474000,-1.000212
0.530612,0.474000,-1.000154
0.551020,0.474000,-1.000098
0.571429,0.474000,-1.000044
0.591837,0.474000,-0.999993
0.612245,0.474000,-0.999945
0.632653,0.474000,-0.999899
0.653061,0.474000,-0.999855
0.673469,0.474000,-0.999814
0.693878,0.474000,-0.999776
0.714286,0.474000,-0.999740
0.734694,0.474000,-0.999706
0.755102,0.474000,-0.999675
0.775510,0.474000,-0.999647
0.795918,0.474000,-0.999621
0.816327,0.474000,-0.999597
0.836735,0.474000,-0.999576
0.857143,0.474000,-0.999557
0.877551,0.474000,-0.999541
0.897959,0.474000,-0.999528
0.918367,0.474000,-0.999517
0.938776,0.474000,-0.999508
0.959184,0.474000,-0.999502
0.979592,0.474000,-0.999498
0.020408,0.475000,-0.999995
0.040816,0.475000,-1.000140
0.061224,0.475000,-0.999960
0.081633,0.475000,-0.999953
0.102041,0.475000,-0.999942
0.122449,0.475000,-0.999962
0.142857,0.475000,-1.000199
0.163265,0.475000,-1.000096
0.183673,0.475000,-0.999827
0.204082,0.475000,-0.999729
0.224490,0.475000,-0.999875
0.244898,0.475000,-1.000148
0.265306,0.475000,-1.000417
0.285714,0.475000,-1.000610
0.306122,0.475000,-1.000712
0.326531,0.475000,-1.000740
0.346939,0.475000,-1.000720
0.367347,0.475000,-1.000671
0.387755,0.475000,-1.000609
0.408163,0.475000,-1.000541
0.428571,0.475000,-1.000472
0.448980,0.475000,-1.000403
0.469388,0.475000,-1.000337
0.489796,0.475000,-1.000274
0.510204,0.475000,-1.000212
0.530612,0.475000,-1.000154
0.551020,0.475000,-1.000098
0.571429,0.475000,-1.000044
0.591837,0.475000,-0.999993
0.612245,0.475000,-0.999945
0.632653,0.475000,-0.999899
0.653061,0.475000,-0.999855
0.673469,0.475000,-0.999814
0.693878,0.475000,-0.999776
0.714286,0.475000,-0.999740
0.734694,0.475000,-0.999706
0.755102,0.475000,-0.999675
0.775510,0.475000,-0.999647
0.795918,0.475000,-0.999621
0.816327,0.475000,-0.999597
0.836735,0.475000,-0.999576
0.857143,0.475000,-0.999557
0.877551,0.475000,-0.999541
0.897959,0.475000,-0.999528
0.918367,0.475000,-0.999517
0.938776,0.475000,-0.999508
0.959184,0.475000,-0.999502
0.979592,0.475000,-0.999498
0.020408,0.476000,-0.999995
0.040816,0.476000,-1.000140
0.061224,0.476000,-0.999960
0.081633,0.476000,-0.999953
0.102041,0.476000,-0.999942
0.122449,0.476000,-0.999962
0.142857,0.476000,-1.000200
0.163265,0.476000,-1.000096
0.183673,0.476000,-0.999827
0.204082,0.476000,-0.999729
0.224490,0.476000,-0.999875
0.244898,0.476000,-1.000148
0.265306,0.476000,-1.000417
0.285714,0.476000,-1.000610
0.306122,0.476000,-1.000712
0.326531,0.476000,-1.000740
0.346939,0.476000,-1.000720
0.367347,0.476000,-1.000671
0.387755,0.476000,-1.000609
0.408163,0.476000,-1.000541
0.428571,0.476000,-1.000472
0.448980,0.476000,-1.000403
0.469388,0.476000,-1.000337
0.489796,0.476000,-1.000274
0.510204,0.476000,-1.000212
0.530612,0.476000,-1.000154
0.551020,0.476000,-1.000098
0.571429,0.476000,-1.000044
0.591837,0.476000,-0.999993
0.612245,0.476000,-0.999945
0.632653,0.476000,-0.999899
0.653061,0.476000,-0.999855
0.673469,0.476000,-0.999814
0.693878,0.476000,-0.999776
0.714286,0.476000,-0.999740
0.734694,0.476000,-0.999706
0.755102,0.476000,-0.999675
0.775510,0.476000,-0.999647
0.795918,0.476000,-0.999621
0.816327,0.476000,-0.999597
0.836735,0.476000,-0.999576
0.857143,0.476000,-0.999557
0.877551,0.476000,-0.999541
0.897959,0.476000,-0.999528
0.918367,0.476000,-0.999517
0.938776,0.476000,-0.999508
0.959184,0.476000,-0.999502
0.979592,0.476000,-0.999498
0.020408,0.477000,-0.999995
0.040816,0.477000,-1.000140
0.061224,0.477000,-0.999960
0.081633,0.477000,-0.999953
0.102041,0.477000,-0.999942
0.122449,0.477000,-0.999962
0.142857,0.477000,-1.000200
0.163265,0.477000,-1.000096
0.183673,0.477000,-0.999827
0.204082,0.477000,-0.999729
0.224490,0.477000,-0.999875
0.244898,0.477000,-1.000149
0.265306,0.477000,-1.000417
0.285714,0.477000,-1.000610
0.306122,0.477000,-1.000712
0.326531,0.477000,-1.000740
0.346939,0.477000,-1.000720
0.367347,0.477000,-1.000671
0.387755,0.477000,-1.000609
0.408163,0.477000,-1.000541
0.428571,0.477000,-1.000472
0.448980,0.477000,-1.000403
0.469388,0.477000,-1.000337
0.489796,0.477000,-1.000274
0.510204,0.477000,-1.000212
0.530612,0.477000,-1.000154
0.551020,0.477000,-1.000098
0.571429,0.477000,-1.000044
0.591837,0.477000,-0.999993
0.612245,0.477000,-0.999945
